product_id,description,category,sales_last_month
PROD001,Red cotton t-shirt with round neck,Topwear,120
PROD002,Blue denim jeans slim fit,Bottomwear,90
PROD003,Black leather jacket for men,Outerwear,45
PROD004,White sneakers unisex,Shoes,70
PROD005,Green floral summer dress,Topwear,65
PROD006,Yellow polo shirt casual,Topwear,80
PROD007,Grey jogger pants men,Bottomwear,50
PROD008,Brown boots leather,Shoes,35
PROD009,Red hoodie with logo,Topwear,95
PROD010,Black skinny jeans women,Bottomwear,60
PROD011,Blue denim jacket unisex,Outerwear,55
PROD012,White canvas shoes casual,Shoes,75
PROD013,Green cotton t-shirt,Topwear,100
PROD014,Beige chinos slim fit,Bottomwear,40
PROD015,Black bomber jacket,Outerwear,30
PROD016,Red high-top sneakers,Shoes,65
PROD017,White linen shirt,Topwear,85
PROD018,Blue cargo pants,Bottomwear,45
PROD019,Black trench coat,Outerwear,25
PROD020,Yellow running shoes,Shoes,55
PROD021,Purple printed t-shirt,Topwear,70
PROD022,Light blue denim shorts,Bottomwear,35
PROD023,Green raincoat,Outerwear,20
PROD024,Black slip-on shoes,Shoes,40
PROD025,Orange summer tank top,Topwear,60
PROD026,Grey sweatpants men,Bottomwear,50
PROD027,Beige cardigan women,Outerwear,30
PROD028,Red ballerina flats,Shoes,45
PROD029,Blue striped shirt,Topwear,75
PROD030,Black leggings women,Bottomwear,55
